"country_id","name"
"germany","Germany"
"poland","Poland"
"slovenia","Slovenia"
"honduras","Honduras"
"newzealand","New Zealand"
"angola","Angola"
"panama","Panama"
"southkorea","South Korea"
"ecuador","Ecuador"
"ukraine","Ukraine"
"costarica","Costa Rica"
"ivorycoast","Ivory Coast"
"cameroon","Cameroon"
"yugoslavia","Yugoslavia"
"netherlands","Netherlands"
"greece","Greece"
"algeria","Algeria"
"iceland","Iceland"
"japan","Japan"
"haiti","Haiti"
"austria","Austria"
"tunisia","Tunisia"
"uruguay","Uruguay"
"unitedarabemirates","United Arab Emirates"
"scotland","Scotland"
"france","France"
"saudiarabia","Saudi Arabia"
"southafrica","South Africa"
"ussr","USSR"
"nigeria","Nigeria"
"portugal","Portugal"
"iran","Iran"
"croatia","Croatia"
"chile","Chile"
"northkorea","North Korea"
"russia","Russia"
"norway","Norway"
"czechoslovakia","Czechoslovakia"
"chinapr","China PR"
"eastgermany","East Germany"
"argentina","Argentina"
"italy","Italy"
"paraguay","Paraguay"
"morocco","Morocco"
"elsalvador","El Salvador"
"switzerland","Switzerland"
"repofireland","Rep of Ireland"
"slovakia","Slovakia"
"spain","Spain"
"westgermany","West Germany"
"hungary","Hungary"
"northernireland","Northern Ireland"
"egypt","Egypt"
"canada","Canada"
"sweden","Sweden"
"jamaica","Jamaica"
"czechrepublic","Czech Republic"
"ghana","Ghana"
"senegal","Senegal"
"colombia","Colombia"
"belgium","Belgium"
"trinidadandtobago","Trinidad and Tobago"
"israel","Israel"
"romania","Romania"
"brazil","Brazil"
"bolivia","Bolivia"
"england","England"
"zaire","Zaire"
"bulgaria","Bulgaria"
"turkey","Turkey"
"bosniaandherzegovina","Bosnia and Herzegovina"
"serbia","Serbia"
"mexico","Mexico"
"togo","Togo"
"denmark","Denmark"
"peru","Peru"
"usa","USA"
"australia","Australia"
"kuwait","Kuwait"
"iraq","Iraq"