"tournament_id","name","avg_goals","total_goals","total_matches","total_teams","year"
"worldcup_1998","World Cup","2.7","171","64","32","1998"
"worldcup_2018","World Cup","2.6","169","64","32","2018"
"worldcup_2014","World Cup","2.7","171","64","32","2014"
"worldcup_2010","World Cup","2.3","145","64","32","2010"
"worldcup_2006","World Cup","2.3","147","64","32","2006"
"worldcup_1990","World Cup","2.2","115","52","24","1990"
"worldcup_1970","World Cup","3.0","95","32","16","1970"
"worldcup_1974","World Cup","2.6","97","38","16","1974"
"worldcup_1994","World Cup","2.7","141","52","24","1994"
"worldcup_1982","World Cup","2.8","146","52","24","1982"
"worldcup_1986","World Cup","2.5","132","52","24","1986"
"worldcup_1978","World Cup","2.7","102","38","16","1978"
"worldcup_1966","World Cup","2.8","89","32","16","1966"
"worldcup_2002","World Cup","2.5","161","64","32","2002"